target_id	SRR26331018	SRR26331020	SRR26331021	SRR26331017	SRR26331016
at5g16970.1	246.053	144.529	281.593	81.794	64.3185
at4g32100.1	0.0	0.0	0.0	0.0	0.0
at2g43120.2	113.242	157.978	154.696	35.2047	35.0998
at2g43120.1	237.136	396.558	417.606	132.017	145.681
at1g30814.1	0.0	0.0967861	0.0	0.0	0.0
at1g30814.4	0.0	0.0	0.0	0.0	0.0
at1g30814.2	0.0	0.0	0.0	0.154486	0.147714
at1g30814.3	0.0	0.0967861	0.0	0.0	0.0
at3g18710.1	9.23517	7.12035	8.39339	3.59869	4.57391
at4g25880.4	1.24197	2.93699	0.833972	0.37201	2.56953
at4g25880.2	0.0	0.0	0.459905	0.0	0.0
at4g25880.5	7.64981	8.40898	6.65486	5.41602	4.85124
at4g25880.1	7.64981	8.40898	6.65486	5.41602	4.85124
at4g25880.3	0.0	0.0	0.0521422	0.0	0.0
at1g78930.1	0.974628	1.88278	0.870495	1.37206	1.70269
at3g07950.1	9.75742	14.5787	13.2887	19.032	17.2755
at4g03450.2	0.0	0.0	0.0	0.0280713	0.0
at4g03450.1	0.0	0.0	0.0	0.0	0.0
at1g71695.1	8.22231	7.76736	8.35675	3.30333	8.22216
at1g58983.1	33.7287	41.8905	33.7901	64.2565	54.4631
at1g12980.1	0.0	0.0	0.0600723	0.0	0.0558612
at5g41480.1	2.10492	2.1965	2.10537	2.3778	1.98937
at5g15008.1	0.0	0.0	0.0	0.0	0.0
at3g51870.1	6.0494	7.54434	6.59818	10.306	14.5024
at4g29950.3	0.515105	5.75775	11.2761	0.521329	1.14365
at4g29950.1	18.6448	24.0547	24.2855	13.9983	13.0155
at4g29950.2	52.9309	35.8602	51.3423	34.9345	35.1288
at3g18310.1	2.15289	1.45516	2.09041	2.79299	2.67055
at5g07360.3	4.30951	6.98106	3.32239	3.593	3.28719
at5g07360.1	4.30951	6.98106	3.32239	3.593	3.28719
at5g07360.2	0.990168	0.0	1.10267	0.0	0.0
at4g08535.1	0.0	0.0	0.0	0.0	0.0
at4g08535.3	0.0	0.0	0.0	0.0	0.0
at4g08535.2	0.0	0.226675	0.077096	0.0749786	0.143383
at4g26490.1	10.7246	10.7589	10.5885	63.0736	49.3762
at5g46240.1	0.101527	0.0505644	0.0	0.752647	1.31936
at5g62260.3	5.75317	4.8402	6.38303	4.19135	2.3829
at5g62260.1	5.75317	4.8402	6.38303	4.19135	2.3829
at5g62260.2	0.0	0.0	0.0	0.0	0.0
at4g16955.1	0.0	0.0	0.0	0.0	0.0
at3g25717.1	224.043	160.678	63.7576	70.8646	42.3487
at1g45223.1	0.0	0.0	0.0	0.0	0.0
at5g35715.1	0.0	0.0	0.0	0.0	0.0
at5g41908.1	0.0	6.11143	0.0	0.0	0.0
at2g21390.1	16.7822	19.4802	15.7562	28.5009	26.6047
at3g48330.2	5.24309	8.83716e-06	2.78861	0.694963	3.24834
at3g48330.3	0.332872	9.06775	11.7189	3.50648	6.30487
at3g48330.4	7.03053	9.32404	1.7863	7.81756	7.19802
at3g48330.1	5.24309	8.83716e-06	2.78861	0.694963	3.24834
at4g32710.1	1.0262	1.46357	0.995569	0.599379	0.440848
at3g46440.1	10.6442	13.5756	8.5859	12.6365	15.1431
at3g46440.2	10.6442	13.5756	8.5859	12.6365	15.1431
at2g21930.1	0.0	0.578363	0.623703	0.73502	1.24088
at2g21930.2	0.704266	0.729447	0.148858	0.28954	0.0
at3g53910.1	0.0	0.0	0.0	0.0	0.0
at4g25090.1	0.475462	0.434131	0.281887	9.71887e-09	0.0
at4g25090.2	0.0	0.0	0.0	0.0994317	0.0
at2g18870.1	0.0	0.0	0.0908579	0.0	0.0844888
at1g56250.1	484.222	397.724	413.083	117.551	84.9899
at3g16830.1	11.8005	13.4375	11.8009	13.5792	13.2868
at5g20470.1	0.571315	0.220618	0.226427	0.0	0.0
at5g04950.1	0.121925	0.0	0.371756	0.0	0.0
at4g13720.1	8.60873	7.05561	7.64789	7.63645	8.03184
at4g13720.2	0.0	1.18956	1.21377	0.0	0.0
at5g50110.1	2.21788	2.57738	1.87845	3.47103	3.66822
at5g50110.2	0.720292	2.51716	0.444157	0.831478	1.26845
at3g03305.1	2.52007	3.60554	3.2598	5.91029	7.14518
at5g66670.2	2.4579	1.9744	2.2218	3.43709	2.86892
at5g66670.4	2.4579	1.9744	2.2218	3.43709	2.86892
at5g66670.3	2.4579	1.9744	2.2218	3.43709	2.86892
at5g66670.1	2.4579	1.9744	2.2218	3.43709	2.86892
at4g08039.1	0.0	0.0	0.0	0.0	0.0
at2g38310.1	140.603	92.6765	144.907	351.938	249.301
at2g26900.1	3.70435	7.55964	3.719	2.58985	1.7505
at5g23000.1	2.8852	2.52199	1.67564	2.03703	1.11299
at1g66852.1	0.0	0.0	0.0	0.0	0.0
at1g69810.2	7.03027	5.37262	11.8224	33.2772	17.9364
at1g69810.1	29.7119	16.7974	44.0723	27.2517	25.804
at1g72450.2	5.84028	7.75627	3.56874	5.40393	5.98396
at1g72450.1	298.25	281.428	253.736	332.194	265.428
at5g03560.3	1.4872	1.67419	1.65198	2.22287	2.88374
at5g03560.4	1.4872	1.67419	1.65198	2.22287	2.88374
at5g03560.1	24.5212	28.3747	23.759	16.4794	19.1689
at5g03560.2	1.4872	1.67419	1.65198	2.22287	2.88374
at4g27340.3	0.0	0.0	0.0	0.0	0.0
at4g27340.2	0.0	0.0	0.0	0.0	0.0
at4g27340.1	1.34595	2.62548	0.626979	1.94015	2.0406
at1g76280.4	0.165665	0.253995	0.0	0.0	0.0
at1g76280.2	0.0	0.0	0.0	0.0892075	0.083532
at1g76280.5	0.804621	1.58516	0.986139	0.0	1.37723
at1g76280.3	1.39239e-05	0.0	0.0	0.0	0.0
at1g76280.1	0.402362	0.00975342	0.217912	1.15691	0.0
at3g03272.1	0.85199	0.0	0.28864	0.0	0.0
at3g28960.1	0.0	0.0	0.0	0.0	0.0
at3g28960.4	0.0	0.0	0.0	0.0	0.0542102
at3g28960.3	0.0	0.0	0.0	0.0	0.0
at3g28960.2	0.0	0.0	0.0	0.0	0.0
at3g28960.5	0.0	0.0	0.0	0.0	0.0
at1g65630.1	0.0	0.0	0.0	0.0	0.0297223
at3g10210.1	11.8473	13.4224	8.18056	11.174	12.0517
at4g27830.2	11.4104	8.15637	13.3819	18.535	25.0205
at4g27830.1	25.2284	17.3919	12.1928	41.7007	37.6475
at1g71390.2	0.0	0.0	0.0	0.0	2.6425e-05
at1g71390.1	0.0	0.0	0.0	0.0	0.040807
at5g46260.1	0.21796	0.433768	0.110762	0.0	0.0
at2g32710.2	4.5438	3.71565	4.98102	1.4883	3.28705
at2g32710.1	4.33247	6.29032	2.7754	4.50067	2.46438
at5g27680.2	0.029856	0.0972709	0.182065	0.0295108	0.0846513
at5g27680.3	0.029856	0.0972709	0.182065	0.0295108	0.0846513
at5g27680.5	0.583424	0.1837	0.319438	1.15561	0.170665
at5g27680.4	0.029856	0.0972709	0.182065	0.0295108	0.0846513
at5g27680.1	0.029856	0.0972709	0.182065	0.0295108	0.0846513
at5g27680.6	0.0	0.205699	0.0	0.0	0.0
at4g19380.1	0.0	0.0	0.0	0.0	0.155464
at4g19380.2	0.0	0.0	0.0	0.0655174	0.0
at5g61960.2	5.33166	5.72368	6.72957	4.59808	4.43084
at5g61960.10	5.33166	5.72368	6.72957	4.59808	4.43084
at5g61960.5	0.228523	0.0159283	0.0147263	0.126545	0.45941
at5g61960.9	0.228523	0.0159283	0.0147263	0.126545	0.45941
at5g61960.6	0.228523	0.0159283	0.0147263	0.126545	0.45941
at5g61960.11	0.228523	0.0159283	0.0147263	0.126545	0.45941
at5g61960.1	5.33166	5.72368	6.72957	4.59808	4.43084
at5g61960.3	5.33166	5.72368	6.72957	4.59808	4.43084
at5g61960.8	0.228523	0.0159283	0.0147263	0.126545	0.45941
at5g61960.4	0.228523	0.0159283	0.0147263	0.126545	0.45941
at5g61960.7	0.228523	0.0159283	0.0147263	0.126545	0.45941
at4g29180.2	0.00698765	0.00615842	0.00434331	0.0138859	0.0
at4g29180.1	0.0	0.0814273	0.0499568	0.164308	0.0
at4g29180.3	0.287071	0.296767	0.169794	0.566437	1.12913
at3g09680.1	0.811273	1.41278	1.44179	1.6036	0.574156
at1g56233.1	0.0	0.0	0.0	0.707781	0.676752
at1g15210.1	18.7542	16.0184	21.9836	34.9122	18.1937
at3g63470.1	0.711075	0.460387	1.30086	3.05741	2.28494
at2g16970.1	0.0	0.0	0.0	0.0	0.0
at2g16970.8	0.0	0.0	0.0	0.0	0.0
at2g16970.6	0.0	0.0	0.0	0.128604	0.0
at2g16970.3	1.21353	1.28232	2.19903	0.0999368	0.0
at2g16970.7	0.0	0.0	0.0979325	0.0	0.0
at2g16970.4	0.0	0.0	0.0979325	0.0	0.0
at2g16970.2	2.12365	2.10023	2.11792	0.0	0.13713
at2g16970.5	0.400222	0.0	0.0	0.473267	0.0158899
at1g15250.1	12.0363	21.8931	14.8924	27.9324	17.3106
at1g15250.2	12.0363	21.8931	14.8924	27.9324	17.3106
at1g79700.2	22.4819	22.4405	10.9491	2.29255	0.0
at1g79700.3	11.0221	10.1529	12.1154	0.0	0.0
at1g79700.1	2.38295	4.45139	3.84042	0.0	0.987796
at1g79700.4	0.0	1.7258	2.33244	0.0	0.0
at2g46620.1	44.3506	45.8842	47.1516	16.9439	21.6819
at3g46920.1	2.09975	1.94663	3.79127	0.882946	1.67588
at3g46920.2	1.17615	3.2803	0.956302	2.3251	1.77853
at2g43750.2	14.1865	20.4744	16.0849	7.93901	6.10871
at2g43750.1	14.1865	20.4744	16.0849	7.93901	6.10871
at1g62895.1	0.0	0.0	0.0	0.0	0.0
at2g24490.2	5.41321	6.2605	8.60336	7.82842	6.28347
at2g24490.1	5.41321	6.2605	8.60336	7.82842	6.28347
at3g57080.1	8.42322	13.7204	9.56811	5.09344	3.83993
at3g13820.1	0.0443998	0.0	0.0	0.0438864	0.0
at2g15080.2	0.905116	0.606662	0.601814	0.0	0.0
at2g15080.1	0.905116	0.606662	0.601814	0.0	0.0
at1g73360.1	0.189139	0.141298	0.168202	0.257059	0.0670335
at1g16360.1	0.286795	0.57134	0.291484	0.313173	0.0
at1g16360.4	0.0	0.0	0.0	3.07927e-06	0.0
at1g16360.5	0.0	0.0	0.0	0.0211606	0.0
at1g16360.3	0.0	0.0	0.0	0.0211606	0.0
at1g16360.2	0.0	0.0	0.0	0.0	0.0
at1g10225.1	1.09161	0.0	0.0	0.0	0.0
at3g49770.1	0.249066	0.124045	0.379708	0.0	0.117697
at4g31660.1	0.0	0.0	0.0	0.165303	0.0
at1g26670.1	83.2412	90.7128	68.3868	47.4082	47.0157
at1g34855.1	0.0	0.0	0.0	0.0	0.0
at1g52200.1	32.6514	25.458	47.8657	1.74359	0.838161
at1g52200.2	6.99396	1.49573	5.42391	1.87115	0.347163
at1g57800.2	0.0	0.0	0.0	0.0	0.0
at1g57800.1	0.0	0.0	0.0	0.0	0.0
at4g23200.1	0.183059	0.0	0.0	0.195486	0.0494314
at4g23200.2	0.0	0.0708287	0.0	0.0153703	0.0
at1g69460.1	34.6705	44.0004	37.4662	39.0178	31.9777
at1g04310.2	2.27654	1.76074	1.7013	1.231	1.40485
at1g04310.1	2.27654	1.76074	1.7013	1.231	1.40485
at1g08080.1	1.77712	0.368782	2.03195	7.0263	7.83798
at2g37678.1	7.44474	14.031	10.1601	3.77869	7.40802
at2g37678.2	2.15405	0.0	0.0	1.72604	0.0
at3g56070.2	8.76796	14.5327	11.6204	21.3545	13.5238
at3g56070.1	8.76796	14.5327	11.6204	21.3545	13.5238
at5g15420.1	0.0	0.165099	0.168459	0.0	0.0
at5g06020.1	0.0	0.0	0.0	0.0	0.0
at3g15251.1	0.0	0.0	0.0	0.0	0.0
at1g75550.2	0.0	0.0	0.0	0.500401	0.0
at1g75550.1	0.152706	0.60843	0.155203	0.0	0.0
at1g71890.1	0.521367	0.484701	0.17663	0.0	0.0
at1g05430.1	11.2818	14.3506	8.2123	9.26765	8.4291
at4g29810.3	0.0	0.0	0.0	0.257007	0.307781
at4g29810.1	26.6615	26.8152	26.1399	25.4012	28.5435
at4g29810.2	2.01555	1.20231	4.26429	4.23912	0.919689
at3g02780.1	48.9547	42.5924	64.6613	56.3354	43.3943
at3g02780.2	18.8358	14.7501	30.3248	38.6398	23.849
at4g26560.1	1.67087	2.49647	0.849093	1.54833	2.17132
at1g80870.1	1.13961	1.01176	0.478405	2.03248	1.96679
at4g23670.1	475.722	577.977	322.517	4067.0	4602.09
at2g46225.3	0.667373	1.99845	0.346409	1.6872	0.0
at2g46225.2	1.12228	0.0	0.215289	0.241274	0.0
at2g46225.1	17.9131	13.3917	15.2969	8.94308	5.17125
at5g18730.1	0.0409884	0.0334242	0.0341044	0.0	0.0
at5g67570.1	3.24206	5.76217	3.18738	2.13638	3.48464
at1g75310.1	0.205261	0.71137	0.658102	0.439257	0.723
at1g75310.2	7.14507	7.64914	5.26471	12.6961	11.1807
at5g29054.1	0.0	0.0	0.0	0.0	0.0
at2g27700.2	0.0193731	0.00249188	0.00870652	0.0412177	0.0204164
at2g27700.1	0.243294	0.0348855	0.105705	0.515132	0.263297
at1g02010.4	0.0	0.0	0.0	0.0	0.424983
at1g02010.6	0.857695	1.27842	0.0	1.68146	3.19958
at1g02010.1	1.86059	1.5006	2.77842	2.11021	0.127941
at1g02010.5	0.0	0.0	0.0	0.0	0.0
at1g02010.2	0.0	0.575138	0.0	0.0	0.0
at1g02010.3	0.535913	0.0	0.0	0.567551	0.24779
at1g47900.1	1.08351	1.08709	0.630414	0.791598	0.96467
at1g47900.3	1.08351	1.08709	0.630414	0.791598	0.96467
at1g47900.2	0.0	0.0	0.0	0.0	0.0
at5g57625.1	0.109589	0.0	0.0	0.0	0.0
at4g02725.1	4.77697	8.70304	8.39083	2.95732	1.83488
at4g02725.2	9.76468	2.08017	0.0	3.70645	2.09864
at1g14315.2	0.0	0.0	0.0	0.0	0.0
at1g14315.1	0.0	0.0	0.0	0.0	0.0
at5g66440.1	20.4599	14.3321	7.77678	4.19264	2.27954
at4g35440.2	1.15635	1.22185	0.607195	0.393478	0.376228
at4g35440.1	2.24157	3.47784	1.21626	0.558681	0.420387
at3g52460.1	3.30791	2.50416	3.29476	6.08158	4.50191
at4g26240.1	14.862	17.951	18.3163	15.9625	20.0185
at3g55380.2	0.250509	0.0	0.0	0.0	0.234197
at3g55380.1	26.0839	29.3568	30.1094	35.7729	35.3354
at2g16953.1	0.0	0.0	0.0	3.08335	0.0
at2g22320.1	0.0	0.0	0.0	0.0	0.0
at1g26760.1	0.161833	0.0322396	0.296061	1.31168	1.04005
at1g05250.1	0.119577	0.148886	0.303831	1.59563	0.565066
at3g44560.1	0.0	0.0	0.0	0.0	0.0
at3g44560.2	0.0	0.0	0.0	0.0	0.0
at3g44560.3	0.0	0.0	0.0	0.0	0.0
at1g67260.3	0.0	0.0	0.0	0.0	0.0
at1g67260.2	0.0	0.0	0.0	0.0	0.0
at1g67260.1	0.0	0.0	0.0	0.0	0.0
at4g31950.1	4.62279	4.60466	4.83967	1.40859	1.05119
at5g51680.1	17.1653	11.3615	31.0844	38.797	31.9703
at4g10925.1	2.6802	3.34178	2.51448	1.20418	2.10794
at4g10925.5	2.6802	3.34178	2.51448	1.20418	2.10794
at4g10925.4	2.6802	3.34178	2.51448	1.20418	2.10794
at4g10925.2	2.6802	3.34178	2.51448	1.20418	2.10794
at4g10925.3	2.6802	3.34178	2.51448	1.20418	2.10794
at3g56520.1	0.0	0.0	0.0	0.0	0.0
at1g24575.1	332.746	250.286	159.351	539.367	431.601
at4g31690.1	0.0	0.0	0.0	0.0	0.0
at1g12790.1	10.5089	12.0588	9.99715	3.82256	3.57552
at4g34640.1	17.7018	19.8762	15.4178	11.7185	10.938
at4g34640.2	0.000495907	0.0	2.46337	4.70434	1.82693
at4g03340.2	0.0	0.0	0.0	0.477197	0.0
at4g03340.1	6.24792	5.49601	9.07154	5.28604	3.98775
at2g37260.1	0.554971	1.14764	0.19243	0.0	0.605206
at2g37260.2	8.32824e-06	0.0	0.647436	0.435584	0.0
at2g37260.3	5.01424e-09	0.000627333	0.000430397	0.000265993	0.0
at5g54610.1	0.0	0.0	0.0	0.0	0.0
at3g27970.1	27.5727	24.3363	4.54435	0.0526136	0.0
at4g13550.1	1.17678	1.43785	1.39717	1.12388	1.10653
at4g13550.3	0.0	0.0	0.0	0.0	0.0
at4g13550.2	0.485161	0.483259	0.0	1.9182	1.37558
at1g04850.1	21.6305	32.1448	19.5021	21.7253	22.0918
at1g04850.2	32.3874	22.4983	23.3207	35.8802	28.2234
at5g20560.1	0.0	0.0	0.0	0.282435	0.108021
at3g17420.1	54.6923	38.5003	51.8546	29.8762	27.7993
at3g08780.1	15.2445	16.0425	16.4273	11.7811	9.91111
at3g08780.2	0.743308	1.07039	1.28945	1.29785	0.577494
at1g31760.1	2.99413	8.94719	11.8342	5.91903	4.40187
at5g65470.1	68.7306	82.2098	80.7893	182.783	218.555
at1g33250.1	11.676	13.3924	10.8535	15.1019	13.8014
at1g74000.1	39.2152	21.5835	53.9797	30.2644	25.4874
at3g55660.1	0.544035	0.602113	0.952268	0.0298747	0.0
at3g55660.2	0.0	0.0	0.0	0.0	0.0
at4g15562.1	0.0	0.0	0.0	0.0	0.0
at3g48480.1	0.533816	0.199396	0.203454	0.395733	0.189192
at5g66420.3	0.323307	0.0	0.655113	0.0925779	0.0982569
at5g66420.1	6.12305	4.17364	5.55786	9.09717	7.68783
at5g66420.2	5.94948	7.65403	3.32948	6.10768	3.45881
at3g02740.1	13.4551	13.1737	11.3896	8.38894	11.5155
at3g02740.2	5.70198	5.15699	5.89604	6.7507	6.72246
at1g55580.1	6.91066	5.05067	12.1771	4.08229	2.3961
at1g53903.1	25.8468	18.863	28.3501	15.5564	24.5489
at3g63400.1	10.0288	9.28469	10.9432	13.6935	10.6412
at3g63400.4	10.0288	9.28469	10.9432	13.6935	10.6412
at3g63400.3	10.0288	9.28469	10.9432	13.6935	10.6412
at3g63400.2	0.0	0.0	0.0	0.0	0.0
at1g19715.1	3.88116	3.82063	1.97237	7.48506	5.00422
at1g19715.2	0.816302	0.0	0.648792	0.000542769	3.2569
at1g19715.3	0.0	0.696894	0.0	2.51038	1.86578
at5g62750.1	0.0	0.527191	0.0	0.261573	1.00042
at2g04031.1	0.0	0.0	0.0	0.0	0.0
at3g06130.2	0.0	0.0	0.0	0.0	0.0
at3g06130.1	12.6435	17.1081	11.6117	2.07034	0.683855
at5g50000.2	0.0	0.0	1.07942	0.0	0.0
at5g50000.1	10.6847	10.8847	10.512	6.5767	3.99335
at1g69430.1	2.07244	3.74837	3.71379	3.98914	6.03066
at1g53340.3	2.03843	3.39671	0.0508908	3.35743	2.57102
at1g53340.2	0.0711323	0.102626	3.89951	0.117913	0.0866127
at1g53340.1	3.25762	0.921697	1.95027	6.57376	1.56141
atcg00160.1	0.636773	0.0	0.36982	0.359663	0.515844
at3g05660.1	0.383495	0.362892	0.584647	7.06948	4.76143
at2g16130.1	0.0	0.0	0.0	0.0	0.0
at5g63820.1	1.55576	3.00246	0.988245	2.30665	1.65415
at3g17140.1	0.0	0.0	0.0	0.0	0.0
at3g24110.1	5.3096	5.47435	4.355	8.9349e-09	6.74636e-09
at3g24110.2	0.0	0.0	0.0	1.59395	1.52407
at1g29890.3	3.31203	2.68047	2.31425	4.09217	1.56511
at1g29890.1	1.67545	1.86709	1.66299	3.64385	3.91003
at1g29890.2	0.0	0.0	0.0	0.0	0.0
at2g47560.1	30.6341	19.5137	20.7892	124.252	67.2532
at4g28600.3	2.80241	1.91671	1.38636	4.95619	5.39672
at4g28600.2	6.20501	6.33434	6.65635	9.37151	10.5569
at4g28600.1	6.20501	6.33434	6.65635	9.37151	10.5569
at1g80290.2	3.48601	2.56157	4.5884	5.47924	5.23903
at1g80290.1	0.0	0.0	9.53146e-05	0.0	0.0
at1g56540.1	0.757324	0.377177	0.0962133	0.431782	0.0
at1g56540.2	0.245839	0.300871	0.959765	0.0	0.524838
at2g37390.1	0.000706527	0.000558017	0.0	0.000705594	0.0
at2g37390.2	0.16045	0.159968	0.0	0.158588	0.0
at2g06050.3	85.9206	114.486	76.1816	66.4244	63.8729
at2g06050.1	85.9206	114.486	76.1816	66.4244	63.8729
at2g06050.2	85.9206	114.486	76.1816	66.4244	63.8729
at3g20920.1	11.7165	18.2681	15.8492	22.7821	23.2095
at3g20920.2	2.4352	0.0	0.0	0.827977	3.58574
at5g26220.1	0.309129	0.718473	0.314183	21.1494	12.9749
at5g26220.2	0.0	0.0	0.0	1.61078	0.594665
at3g54830.1	0.0	0.0	0.0328273	0.0159629	0.0
at3g54830.2	0.0	0.0	0.0328273	0.0159629	0.0
at3g09190.1	5.5513	7.74135	2.31325	0.219485	0.524656
at3g05545.1	32.2877	30.1403	40.7563	41.8983	39.8575
at1g48650.2	1.42641	2.91709	0.496327	2.53485	2.26512
at1g48650.1	1.78617	2.11577	2.00949	1.29609	1.42507
at4g27400.1	0.0	0.0	0.0	0.334004	0.319361
at2g35250.1	0.0	0.0	0.0	0.0	0.0
at5g15730.1	0.0	0.0	0.0	0.595297	0.0
at5g15730.2	21.4448	19.9422	21.3484	35.9083	31.7275
at5g15730.3	21.4448	19.9422	21.3484	35.9083	31.7275
at1g22670.1	0.261171	0.0433578	0.221201	0.129075	0.329111
at1g07030.1	9.41038	8.60225	14.4069	23.1951	25.4993
at5g61930.2	0.576429	0.528235	0.492117	0.683716	0.762699
at5g61930.1	0.576429	0.528235	0.492117	0.683716	0.762699
at4g27260.1	4.31675	3.19658	4.50278	2.38606	0.671016
at1g69860.1	0.0	0.0	0.0	0.0626779	0.0
at1g10120.1	2.86578	1.98018	2.96512	11.3306	6.36855
at1g10120.2	2.86578	1.98018	2.96512	11.3306	6.36855
at5g08760.1	13.5272	10.3647	11.6332	6.17112	5.90058
at2g38390.1	13.0374	7.59429	9.80929	6.45791	2.90717
at1g43650.2	0.341874	0.0	0.26662	0.0	0.0
at1g43650.1	13.1708	11.8071	9.92157	16.193	20.8203
at3g26470.1	194.679	113.747	169.987	52.8389	29.2201
at1g09960.1	7.54145	9.21596	6.10341	5.21107	5.87355
at4g27370.3	0.133751	1.01105	0.935833	0.353542	0.637254
at4g27370.4	0.133751	0.0	0.0	0.353542	4.32739e-06
at4g27370.1	0.94906	0.0	0.0	0.0	0.0
at4g27370.2	0.133751	1.01105	0.935833	0.353542	0.637254
at2g25250.1	371.911	393.045	315.345	166.349	181.966
at5g42110.1	35.307	35.1686	25.119	171.004	193.539
at1g51990.2	0.0	0.0	0.0	0.0257765	0.0
at1g51990.1	0.0	0.0	0.0	0.0257765	0.0
at5g23030.1	0.0	0.0	0.0	0.0772431	0.0
at3g51100.3	0.856103	0.0	0.63113	3.06408	0.0
at3g51100.1	26.4871	27.2836	23.8931	20.8495	24.7794
at3g51100.2	0.0	0.0	0.0	0.0	0.0
at3g29580.1	0.193527	0.0	0.0655636	0.127526	0.243871
at3g28370.5	1.45324	0.0	0.0	0.0	0.0
at3g28370.3	0.0	0.306801	0.327311	0.325329	0.385164
at3g28370.2	0.0	0.306801	0.327311	0.325329	0.385164
at3g28370.1	2.02068	2.823	2.91954	5.1939	5.84339
at3g28370.4	0.0	0.306801	0.327311	0.325329	0.385164
at2g15710.1	0.0	0.0	0.0	0.0	0.0
at5g20250.2	226.035	294.216	215.815	57.9296	43.299
at5g20250.4	627.052	696.381	488.318	152.487	114.449
at5g20250.1	226.035	294.216	215.815	57.9296	43.299
at5g20250.3	226.035	294.216	215.815	57.9296	43.299
at4g21470.1	4.99906	6.50781	8.95428	9.0019	9.58961
at4g05220.1	0.966295	0.770005	0.392838	1.05063	0.18265
at4g04730.1	0.0	0.0	0.0	0.411044	0.0
at2g33520.1	0.0	0.0	0.0	0.0	2.31677
at1g53625.1	55.0909	32.0104	53.3254	22.6891	26.6532
at1g63360.1	0.0	0.0	0.0	0.0	0.0
at1g63360.2	0.316974	0.276265	0.100674	0.0195818	0.0
at1g33330.2	1.80902	1.58677	1.26232	1.46784	1.37798
at1g33330.3	1.80902	1.58677	1.26232	1.46784	1.37798
at1g33330.1	1.80902	1.58677	1.26232	1.46784	1.37798
at3g26840.1	22.4207	16.4455	29.4646	27.8104	17.1735
at1g74929.1	10.7468	21.4093	0.0	10.6225	0.0
at3g29010.1	2.51411	4.6892	3.60039	1.23175	1.35721
at3g29010.2	7.28414	4.42495	6.15542	1.72816	1.71803
at3g29010.5	7.28414	4.42495	6.15542	1.72816	1.71803
at3g29010.3	2.51411	4.6892	3.60039	1.23175	1.35721
at3g29010.6	7.28414	4.42495	6.15542	1.72816	1.71803
at3g29010.4	6.34231	7.39272	5.02238	0.562406	0.592151
at3g10450.1	0.892864	1.3697	1.14168	3.49581	3.07107
at3g10450.3	0.735214	0.0	0.232112	0.0	0.0
at3g10450.2	5.11009	7.15564	4.76369	5.80515	9.42916
at3g10450.4	0.127274	0.0	0.0610942	0.0	0.0
at4g12485.1	0.0	0.0	0.0	0.0	0.0
at4g34800.1	0.0	0.0	0.0	1.60592	1.53552
at4g28340.1	0.331498	0.165099	0.673835	0.0	0.0
at1g63430.1	2.41603	2.32234	1.54014	2.31849	1.98651
at1g63430.2	0.390709	0.153755	0.130051	0.248951	0.515996
at1g63430.3	2.41603	2.32234	1.54014	2.31849	1.98651
at3g14510.1	0.141998	0.141442	0.93808	0.561425	0.40261
at1g80720.2	2.10908	2.08173	1.7863	0.590216	2.25737
at1g80720.1	0.0	1.51558	0.0	3.22567	0.449663
at1g69770.1	6.28096	5.09701	8.40277	4.68104	3.54653
at1g08460.1	11.1953	10.7673	10.863	9.04497	10.8144
at1g08460.2	0.495501	0.298686	0.575432	0.907597	1.09436
at1g78710.1	0.0	0.0	0.0	0.0739662	0.199858
at1g78710.2	0.0	0.0	0.0	0.104061	0.0
at4g03820.2	1.32456	0.0	0.258152	1.30161	3.70856
at4g03820.1	1.28091	2.41326	2.44783	10.0152	21.0694
at4g03820.3	0.459649	0.0	0.0	3.24656	3.23248
at4g03820.4	0.490869	0.0	0.0	0.511552	0.660322
at3g28930.3	28.8155	22.9009	17.8492	16.9575	10.8398
at3g28930.2	2.48446	0.0	0.861157	3.77811	1.54896
at3g28930.1	28.8155	22.9009	17.8492	16.9575	10.8398
at3g52950.2	3.70199	3.86082	4.48608	13.2606	14.6679
at3g52950.1	3.70199	3.86082	4.48608	13.2606	14.6679
at2g26330.1	0.204577	0.560382	0.0	0.0842549	0.0483367
at1g08610.1	1.50953	2.25542	1.18262	1.83401	1.30778
at3g57620.1	0.0	0.0	0.0	0.0637189	0.0304627
at5g08070.1	0.0	0.0	0.0	0.043431	0.0
at5g08070.2	0.0	0.0	0.0	0.043431	0.0
at1g17540.1	0.0234283	0.0700093	0.071434	0.254731	0.0664265
at2g39280.1	6.78388	7.85271	6.21362	4.67448	4.51309
at2g39280.2	0.862618	0.849869	0.865866	0.667667	0.0979524
at1g27380.3	1.49921	0.0	1.28553	7.4597	0.0
at1g27380.4	4.30509	1.52108	1.40884	10.4131	14.9349
at1g27380.2	0.0	0.0	0.759672	0.488973	1.68972
at1g27380.1	0.0	0.0	0.759672	0.488973	1.68972
at1g58643.2	0.0	0.0200488	0.0	0.0795797	0.0380455
at1g58643.1	0.0	0.0	0.0	0.0	0.0
at5g08450.2	4.2242	4.67314	4.01568	4.10936	3.88906
at5g08450.1	4.2242	4.67314	4.01568	4.10936	3.88906
at5g08450.3	4.2242	4.67314	4.01568	4.10936	3.88906
at5g14030.3	14.248	12.7014	11.4387	34.5889	25.9982
at5g14030.4	14.248	12.7014	11.4387	34.5889	25.9982
at5g14030.1	14.248	12.7014	11.4387	34.5889	25.9982
